Processor,Batch Size,Dataset Size (GB),CPU Time (s),GPU time (s),Average CPU time (s),Average GPU Time (s),Inference Time,CPU memory usage,Average of CPU memory usage (Mb),GPU memory usage (MB),Average GPU memory Usage (Mb),Throughput (bitpers),Average throughput(bitpers),,
Rivanna HPC CPU,512,12.6,1776.684409,0,1793.202457,0,1793.202457,13292450.95,13290115.21,0,0," 60,964,996.47 ",60721723.4,,
Rivanna HPC CPU,512,12.6,1960.71609,0,,,0,13285996.91,,0,," 55,242,857.07 ",,,
Rivanna HPC CPU,512,12.6,1642.206873,0,,,0,13291897.77,,0,," 65,957,316.65 ",,,
CAI,512,1,15.64,0,15.35,0,15.35,732451.57,726496.6267,0,0," 549,977,984.65 ",555732008.3,,
CAI,512,1,15.32,0,,,0,732451.57,,0,," 561,465,775.46 ",,,
CAI,512,1,15.1,0,,,0,714586.74,,0,," 555,752,264.90 ",,,
CAI,512,2,22.88,0,20.15,0,20.15,1429164.26,1429170.057,0,0," 733,554,125.87 ",840373409.6,,
CAI,512,2,19.14,0,,,0,1429172.11,,0,," 876,892,288.40 ",,,
CAI,512,2,18.43,0,,,0,1429173.8,,0,," 910,673,814.43 ",,,
CAI,512,4,23.59,0,22.13,0,22.13,2858347.61,2858346.053,0,0," 1,422,951,962.70 ",1536635331,,
CAI,512,4,24.05,0,,,0,2858347.34,,0,," 1,395,735,417.88 ",,,
CAI,512,4,18.74,0,,,0,2858343.21,,0,," 1,791,218,612.59 ",,,
CAI,512,6,23.6,0,23.66,0,23.66,4287512.59,4287517.683,0,0," 2,133,523,525.42 ",2157385789,,
CAI,512,6,27.06,0,,,0,4287520.26,,0,," 1,860,722,660.75 ",,,
CAI,512,6,20.32,0,,,0,4287520.2,,0,," 2,477,911,181.10 ",,,
CAI,512,8,24.18,0,22.8,0,22.8,5716693.67,5764332.51,0,0," 2,776,462,928.04 ",3007800161,,
CAI,512,8,19.2,0,,,0,5716693.74,,0,," 3,496,608,000.00 ",,,
CAI,512,8,25.02,0,,,0,5859610.12,,0,," 2,750,329,553.96 ",,,
CAI,512,10,24.82,0,25.48,0,25.48,7145863.5,7145860.583,0,0," 3,381,087,510.07 ",3308993248,,
CAI,512,10,27.94,0,,,0,7145867.43,,0,," 3,003,528,704.37 ",,,
CAI,512,10,23.69,0,,,0,7145850.82,,0,," 3,542,363,528.92 ",,,
CAI,512,12.6,30.53,0,28.08,0,28.08,9223333.95,9223325.373,0,0," 3,547,840,115.30 ",3872419032,,
CAI,512,12.6,26.52,0,,,0,9223325.48,,0,," 4,084,297,085.97 ",,,
CAI,512,12.6,27.18,0,,,0,9223316.69,,0,," 3,985,119,894.04 ",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
